111		5.75	8	1
Player1		5.05	6	1
player3		13.61	6	1
111		1.17	4	1
111		10.99	8	1
cai		14.15	20	1
Liu		2.41	4	1
Liu		21.04	16	2
Liu		50.46	36	3
xxx		2.07	4	1
xxx		18.46	16	2
xxx		65.21	36	3
xxx		3.27	4	1
xxx		1.93	4	1
Liu		2.18	4	1
Liu		17.86	16	2
Liu		7.93	9	1
Liu		2.10	4	1
Liu		6.02	8	1
xxx		5.42	8	1
xxx		7.61	8	1
xxx		31.75	38	2
Liu		2.13	4	1
Liu		22.23	16	2
Liu		68.10	40	3
aaa		2.17	4	1
aaa		2.19	4	1
aaa		32.68	42	2
aaa		32.69	42	2
aaa		5.96	8	1
aaa		30.68	38	2
aaa		1.66	4	1
aaa		18.68	4	1
aaa		6.72	4	1
aaa		7.41	4	1
bbb		9.91	10	1
ccc		6.44	8	1
aaa		1.88	4	1
bbb		22.44	30	2
aaa		35.72	46	2
Guo		8.44	18	2
aaa		12.39	22	2
aaa		1.29	4	1
aaa		18.61	8	1
aaa		25.43	10	1
aaa		11.45	22	2
aaa		1.67	4	1
aaa		1.25	4	1
aaa		20.60	12	1
aaa		8.96	16	2
aaa		20.55	8	1
aaa		2.10	4	1
aaa		39.38	44	2
aaa		204.20	200	3
aaa		2.54	4	1
aaa		74.62	42	3
